date,ticker,start_time,end_time,direction,best exit timestamp,worst exit timestamp,best exit price,worst exit price,entry_price,macd_exit_price,starting_atr14,starting_atr28,starting_rsi,best exit percent,worst exit percent,macd_exit_percent,price_movement
06-09-2025,SOXL,09:10:10,09:24:01,short,09:21:11,09:10:12,20.35,20.49,20.5,20.42,0.054,0.055,46.2,0.73,0.04,0.39,0.1|0.2|0.3|0.4|0.5|0.6|0.7
06-09-2025,SOXL,09:24:01,09:46:01,buy,09:39:55,09:26:43,20.56,20.41,20.42,20.48,0.048,0.052,44.7,0.68,-0.04,0.29,0.1|0.2|0.3|0.4|0.5|0.6
06-09-2025,SOXL,09:46:01,09:50:33,short,09:47:11,09:50:33,20.45,20.54,20.48,20.54,0.036,0.042,48.4,0.14,-0.29,-0.29,0.1|-0.1|-0.2
06-09-2025,SOXL,09:50:33,10:03:02,buy,10:00:02,09:50:34,20.67,20.54,20.54,20.62,0.037,0.042,60.1,0.63,0.0,0.39,0.1|0.2|0.3|0.4|0.5|0.6
06-09-2025,SOXL,10:03:02,10:25:01,short,10:11:38,10:25:01,20.59,20.7,20.62,20.7,0.038,0.041,58.3,0.14,-0.38,-0.39,-0.1|0.1|-0.2|-0.3
06-09-2025,SOXL,10:25:01,10:31:21,buy,10:26:25,10:25:05,20.8,20.69,20.7,20.7,0.035,0.037,65.0,0.48,-0.04,0.0,0.1|0.2|0.3|0.4
06-09-2025,SOXL,10:31:21,10:31:37,short,10:31:26,10:31:31,20.69,20.71,20.7,20.71,0.039,0.04,56.2,0.04,-0.04,-0.05,
06-09-2025,SOXL,10:31:37,10:34:11,buy,10:32:52,10:31:38,20.75,20.71,20.71,20.71,0.04,0.04,57.2,0.19,0.0,0.0,0.1
06-09-2025,SOXL,10:34:11,10:37:43,short,10:34:50,10:37:35,20.68,20.77,20.71,20.77,0.038,0.039,55.3,0.14,-0.28,-0.29,0.1|-0.1|-0.2
06-09-2025,SOXL,10:37:43,10:44:12,buy,10:38:55,10:38:05,20.79,20.75,20.77,20.77,0.04,0.04,62.5,0.09,-0.09,0.0,
06-09-2025,SOXL,10:44:12,10:44:18,short,10:44:13,10:44:18,20.77,20.78,20.77,20.78,0.033,0.036,61.4,0.0,-0.04,-0.05,
06-09-2025,SOXL,10:44:18,10:44:23,buy,10:44:19,10:44:23,20.78,20.77,20.78,20.77,0.033,0.036,62.9,0.0,-0.04,-0.05,
06-09-2025,SOXL,10:44:23,10:44:31,short,10:44:24,10:44:31,20.77,20.79,20.77,20.79,0.033,0.036,61.4,0.0,-0.09,-0.1,
06-09-2025,SOXL,10:44:31,10:45:00,buy,10:44:32,10:44:42,20.78,20.77,20.79,20.78,0.033,0.036,65.4,-0.04,-0.09,-0.05,
06-09-2025,SOXL,10:45:00,10:47:23,short,10:46:00,10:46:28,20.76,20.8,20.78,20.8,0.03,0.035,63.8,0.09,-0.09,-0.1,
06-09-2025,SOXL,10:47:23,10:47:40,buy,10:47:24,10:47:40,20.8,20.79,20.8,20.79,0.031,0.035,64.4,0.0,-0.04,-0.05,
06-09-2025,SOXL,10:47:40,10:48:53,short,10:47:51,10:48:45,20.78,20.81,20.79,20.81,0.031,0.035,62.9,0.04,-0.09,-0.1,
06-09-2025,SOXL,10:48:53,10:49:03,buy,10:48:54,10:48:59,20.81,20.8,20.81,20.8,0.031,0.035,65.7,0.0,-0.04,-0.05,
06-09-2025,SOXL,10:49:03,11:11:11,short,11:07:24,10:49:33,20.69,20.81,20.8,20.77,0.03,0.034,64.1,0.52,-0.04,0.14,0.1|0.2|0.3|0.4|0.5
06-09-2025,SOXL,11:11:11,11:11:30,buy,11:11:27,11:11:30,20.79,20.76,20.77,20.76,0.033,0.034,57.1,0.09,-0.04,-0.05,
06-09-2025,SOXL,11:11:30,11:12:37,short,11:11:43,11:12:29,20.74,20.77,20.76,20.77,0.034,0.035,53.5,0.09,-0.04,-0.05,
06-09-2025,SOXL,11:12:37,11:12:48,buy,11:12:38,11:12:43,20.77,20.76,20.77,20.76,0.035,0.036,55.3,0.0,-0.04,-0.05,
06-09-2025,SOXL,11:12:48,11:13:02,short,11:12:49,11:13:02,20.76,20.77,20.76,20.77,0.035,0.036,53.3,0.0,-0.04,-0.05,
06-09-2025,SOXL,11:13:02,11:13:09,buy,11:13:03,11:13:09,20.77,20.75,20.77,20.75,0.034,0.035,56.1,0.0,-0.09,-0.1,
06-09-2025,SOXL,11:13:09,11:14:19,short,11:13:25,11:13:14,20.73,20.76,20.75,20.76,0.034,0.035,50.4,0.09,-0.04,-0.05,
06-09-2025,SOXL,11:14:19,11:14:31,buy,11:14:20,11:14:31,20.76,20.75,20.76,20.75,0.035,0.035,53.3,0.0,-0.04,-0.05,
06-09-2025,SOXL,11:14:31,11:14:40,short,11:14:32,11:14:37,20.75,20.76,20.75,20.76,0.035,0.035,51.0,0.0,-0.04,-0.05,
06-09-2025,SOXL,11:14:40,11:31:36,buy,11:28:23,11:14:41,20.86,20.76,20.76,20.8,0.035,0.035,53.3,0.48,0.0,0.19,0.1|0.2|0.3|0.4
06-09-2025,SOXL,11:31:36,11:46:01,short,11:39:46,11:31:44,20.74,20.81,20.8,20.8,0.031,0.032,52.2,0.28,-0.04,0.0,0.1|0.2
06-09-2025,SOXL,11:46:01,11:53:02,buy,11:48:30,11:52:46,20.83,20.76,20.8,20.77,0.029,0.03,54.4,0.14,-0.19,-0.14,0.1|-0.1
06-09-2025,SOXL,11:53:02,11:55:03,short,11:53:10,11:54:18,20.76,20.8,20.77,20.8,0.029,0.03,46.6,0.04,-0.14,-0.14,-0.1
06-09-2025,SOXL,11:55:03,11:55:35,buy,11:55:10,11:55:19,20.81,20.79,20.8,20.79,0.029,0.03,54.3,0.04,-0.04,-0.05,
06-09-2025,SOXL,11:55:35,11:55:47,short,11:55:36,11:55:47,20.78,20.8,20.79,20.8,0.03,0.031,49.8,0.04,-0.04,-0.05,
06-09-2025,SOXL,11:55:47,11:55:52,buy,11:55:48,11:55:52,20.8,20.79,20.8,20.79,0.03,0.031,54.3,0.0,-0.04,-0.05,
06-09-2025,SOXL,11:55:52,11:57:22,short,11:55:56,11:57:09,20.78,20.8,20.79,20.8,0.03,0.031,51.3,0.04,-0.04,-0.05,
06-09-2025,SOXL,11:57:22,11:58:36,buy,11:57:39,11:58:02,20.82,20.79,20.8,20.79,0.029,0.03,54.2,0.09,-0.04,-0.05,
06-09-2025,SOXL,11:58:36,12:05:02,short,11:59:54,12:01:04,20.75,20.79,20.79,20.79,0.03,0.031,49.8,0.19,0.0,0.0,0.1
06-09-2025,SOXL,12:05:02,12:05:29,buy,12:05:03,12:05:29,20.79,20.77,20.79,20.77,0.03,0.031,52.6,0.0,-0.09,-0.1,
06-09-2025,SOXL,12:05:29,12:06:01,short,12:05:30,12:05:32,20.77,20.78,20.77,20.78,0.031,0.031,47.5,0.0,-0.04,-0.05,
